CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	TRADED_VAL
FUTSTKAARTIIND25-JAN-2023	619.8	620.65	620.65	603.15	605.75	605.75	-2.26	3574	642600	756	391540430
FUTSTKVOLTAS29-MAR-2023	821.3	815	816.25	814.55	814.55	818.6	-0.32	5	1800	3	1467480
FUTSTKHEROMOTOCO29-MAR-2023	2764.05	0	0	0		2752.25	-0.42	1	0	0	0
FUTSTKPFC25-JAN-2023	157	157.65	157.7	152.5	155.45	155.45	-0.98	10030	30745800	4959	4772966150
FUTSTKHINDCOPPER29-MAR-2023	118.25	114.9	115.7	114.9	115.5	116.45	-1.52	6	14400	3	1661280
FUTSTKLALPATHLAB29-MAR-2023	2150	2150	2150	2120	2125	2125	-1.16	30	1500	6	3198750
FUTSTKTITAN23-FEB-2023	2639.8	2648.85	2648.85	2611.5	2624.55	2624.55	-0.57	254	73125	195	192137381.3
FUTSTKTRENT29-MAR-2023	1369.05	1340.75	1340.75	1340.75	1340.75	1328.15	-2.98	23	400	1	536300
FUTSTKBSOFT25-JAN-2023	301.4	300.05	301.05	293.75	296.15	296.15	-1.74	4201	1682000	841	498718500
FUTSTKFEDERALBNK25-JAN-2023	138.65	139.15	139.2	135.4	136.75	136.75	-1.37	14650	30190000	6038	4138088250
FUTSTKIDEA29-MAR-2023	8.15	8.1	8.1	7.9	8	8	-1.84	27	980000	14	7829500
FUTSTKTORNTPOWER23-FEB-2023	504.25	497.8	497.8	482.2	482.2	482.2	-4.37	34	22500	15	10987950
FUTSTKMPHASIS25-JAN-2023	2017.25	2026	2026	1980.05	2010.95	2010.95	-0.31	6346	552200	2008	1108103370
FUTSTKLAURUSLABS29-MAR-2023	383.9	382.1	382.1	379.75	380.8	380.1	-0.98	19	5500	5	2097205
FUTSTKPIIND29-MAR-2023	3467.9	0	0	0		3393.9	-2.13	0	0	0	0
FUTSTKRELIANCE29-MAR-2023	2604.55	2600	2600	2559.95	2563.85	2563.85	-1.56	158	34500	138	88754825
FUTSTKBANDHANBNK25-JAN-2023	241.55	241.85	243.35	236.95	241.55	241.55	0	26853	16687800	9271	4013071200
FUTSTKDALBHARAT29-MAR-2023	1902.25	0	0	0		1877.4	-1.3	0	0	0	0
FUTSTKPNB29-MAR-2023	58.9	58.75	58.75	56.75	57.25	57.25	-2.8	59	560000	35	32192800
FUTSTKBEL29-MAR-2023	102	101	101	99.45	99.5	99.5	-2.45	13	57000	10	5701425
FUTSTKAARTIIND23-FEB-2023	620.2	619.5	619.5	604.1	605.1	605.1	-2.43	213	69700	82	42447597.5
FUTSTKAARTIIND29-MAR-2023	621.35	616	616	606.8	608.45	608.45	-2.07	12	11050	13	6740032.5
FUTSTKTATACHEM25-JAN-2023	946.65	945	947.85	928.25	934.15	934.15	-1.32	14285	1302000	2604	1217567675
FUTSTKTATAPOWER29-MAR-2023	214.9	214	214	209.65	211.9	211.9	-1.39	74	249750	74	52794956.25
FUTSTKLICHSGFIN29-MAR-2023	426.05	418.7	418.7	418.7	418.7	428	0.45	7	2000	1	837400
FUTSTKBAJAJ-AUTO29-MAR-2023	3659.75	0	0	0		3609.15	-1.38	0	0	0	0
FUTSTKSUNPHARMA29-MAR-2023	1016.2	0	0	0		1020.05	0.37	16	0	0	0
FUTSTKSHREECEM23-FEB-2023	23401.1	23599.95	24263.9	23498.25	23656.25	23656.25	1.09	120	2600	104	61934481.25
FUTSTKGODREJPROP25-JAN-2023	1247.45	1247.75	1249.45	1210.95	1216.1	1216.1	-2.51	9589	678300	1596	828860500
FUTSTKATUL25-JAN-2023	8204.25	8215.75	8245.1	7922.1	7963.6	7963.6	-2.93	1470	54975	733	440927535
FUTSTKBIOCON29-MAR-2023	267.65	266.4	266.4	264.4	264.45	264.45	-1.19	18	20700	9	5496425
FUTSTKNATIONALUM25-JAN-2023	83.55	82.95	83.2	80.1	81.15	81.15	-2.87	8914	23182500	3091	1882617375
FUTSTKMCX25-JAN-2023	1481.45	1485.95	1487.35	1462.55	1483.95	1483.95	0.16	3413	464400	1161	686138340
FUTSTKRBLBANK25-JAN-2023	187.35	187.4	188.3	178.85	180.8	180.8	-3.49	6383	26770000	5354	4875334000
