CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKDLF23-FEB-2023PE465	85.2	0	0	0		85.15	0.05	0	0	0	380.05	0	0
OPTSTKTORNTPOWER25-JAN-2023PE465	4.7	0	0	0		4.65	0.05	0	0	0	499.45	0	0
OPTSTKLICHSGFIN23-FEB-2023CE465	13.7	0	0	0		12.45	1.25	0	0	0	421.6	0	0
OPTSTKMRF23-FEB-2023CE101000	907.55	0	0	0		1016	108.45	0	0	0	88874.7	0	0
OPTSTKAUROPHARMA23-FEB-2023CE465	16.55	0	0	0		18.85	2.3	0	0	0	441.3	0	0
OPTSTKBALKRISIND29-MAR-2023PE2480	363.45	0	0	0		361.7	1.75	0	0	0	2129.6	0	0
OPTSTKCROMPTON25-JAN-2023PE465	118.6	0	0	0		116.15	2.45	0	0	0	347	0	0
OPTSTKESCORTS29-MAR-2023CE2480	74.15	0	0	0		80.85	6.7	0	0	0	2166.8	0	0
OPTSTKMRF23-FEB-2023PE101000	12872	0	0	0		12179.25	692.75	0	0	0	88874.7	0	0
OPTSTKOFSS23-FEB-2023CE3420	33.2	0	0	0		27.8	5.4	0	0	0	2999.55	0	0
OPTSTKHEROMOTOCO25-JAN-2023PE2480	12.5	3.7	3.9	3.35	3.9	11.1	1.4	7	2400	8	2720.3	5960805	8805
OPTSTKDABUR25-JAN-2023PE465	0.05	0	0	0		0.05	0	0	0	0	560.85	0	0
OPTSTKHDFC23-FEB-2023PE2480	51.55	0	0	0		47.5	4.05	0	0	0	2664.7	0	0
OPTSTKTITAN23-FEB-2023CE2480	190.65	0	0	0		221.95	31.3	0	0	0	2613.6	0	0
OPTSTKSRF25-JAN-2023PE2480	210	0	0	0		200.9	9.1	0	0	0	2302.85	0	0
OPTSTKSUNTV25-JAN-2023CE465	34.25	0	0	0		32.6	1.65	0	0	0	486.8	0	0
OPTSTKHAL25-JAN-2023PE2480	71.4	40.05	42.6	40.05	41.1	41.1	30.3	13	1200	4	2539	3025455	49455
OPTSTKESCORTS23-FEB-2023PE2480	354.7	0	0	0		333.7	21	0	0	0	2166.8	0	0
OPTSTKHINDUNILVR25-JAN-2023PE2480	34.4	18.25	18.25	18.25	18.25	38.15	3.75	11	300	1	2542	749475	5475
OPTSTKAUROPHARMA29-MAR-2023CE465	25.05	0	0	0		27.7	2.65	0	0	0	441.3	0	0
OPTSTKZYDUSLIFE23-FEB-2023PE465	47.4	0	0	0		43.95	3.45	0	0	0	424.65	0	0
OPTSTKPIDILITIND29-MAR-2023PE2480	98.75	0	0	0		95.3	3.45	0	0	0	2536.95	0	0
OPTSTKASIANPAINT29-MAR-2023CE3420	74.45	0	0	0		67.9	6.55	0	0	0	3028.25	0	0
OPTSTKSRF23-FEB-2023CE2480	77.7	0	0	0		79.7	2	0	0	0	2302.85	0	0
OPTSTKOFSS29-MAR-2023PE3420	408.2	0	0	0		426.15	17.95	0	0	0	2999.55	0	0
OPTSTKOFSS25-JAN-2023PE3420	388	0	0	0		411.35	23.35	0	0	0	2999.55	0	0
OPTSTKWIPRO25-JAN-2023PE465	70.25	0	0	0		66.4	3.85	1	0	0	397.05	0	0
OPTSTKTORNTPOWER29-MAR-2023PE465	16.2	0	0	0		16.3	0.1	0	0	0	499.45	0	0
OPTSTKICICIPRULI29-MAR-2023PE465	34	0	0	0		26.65	7.35	0	0	0	468.85	0	0
OPTSTKRELIANCE29-MAR-2023CE2480	232.3	0	0	0		218.5	13.8	0	0	0	2557.05	0	0
OPTIDXFINNIFTY24-JAN-2023CE17950	1281.1	0	0	0		1378.7	97.6	0	0	0	19196.05	0	0
OPTSTKIBULHSGFIN29-MAR-2023CE152.5	22.85	0	0	0		20.3	2.55	0	0	0	150.65	0	0
OPTSTKBRITANNIA25-JAN-2023PE3050	0	0	0	0		0	0	0	0	0	4241.8	0	0
OPTSTKFEDERALBNK29-MAR-2023PE152.5	18.95	0	0	0		18.85	0.1	0	0	0	137.75	0	0
OPTSTKALKEM23-FEB-2023PE3160	195.25	0	0	0		177	18.25	0	0	0	3028.8	0	0
OPTSTKASHOKLEY25-JAN-2023PE152.5	5.9	5.75	7.2	5.75	6.5	8.75	2.85	9	60000	12	147.4	9539250	389250
OPTSTKASIANPAINT25-JAN-2023PE3160	154.3	0	0	0		165.15	10.85	0	0	0	3028.25	0	0
OPTSTKSIEMENS25-JAN-2023CE3050	26.05	0	0	0		26.2	0.15	0	0	0	2837.45	0	0
OPTSTKINDUSTOWER25-JAN-2023CE152.5	38.25	0	0	0		37.95	0.3	0	0	0	189.7	0	0
OPTIDXNIFTY12-JAN-2023CE17950	344.05	321.8	375	292.55	359.95	359.95	15.9	169	19800	396	18232.55	361957610	6547610
OPTSTKOFSS25-JAN-2023CE3160	46.75	0	0	0		37.4	9.35	0	0	0	2999.55	0	0
OPTSTKDRREDDY25-JAN-2023PE3050	0	0	0	0		0	0	0	0	0	4238.35	0	0
OPTSTKABCAPITAL25-JAN-2023PE152.5	3.6	3.3	4.5	2.9	3.85	3.85	0.25	27	307800	57	154.35	48027060	1087560
OPTSTKOFSS25-JAN-2023PE3160	168.95	0	0	0		185.05	16.1	0	0	0	2999.55	0	0
